station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys
72,46,0,1,8,0,1,1,1,1586792802,false
79,18,0,1,14,0,1,1,1,1586776470,false
82,8,0,0,19,0,1,1,1,1586796430,false
83,45,0,0,17,0,1,1,1,1586799796,false
116,22,0,0,28,0,1,1,1,1586795439,false
119,13,0,0,6,0,1,1,1,1586763939,false
120,7,0,1,11,0,1,1,1,1586799696,false
127,23,0,0,8,0,1,1,1,1586797160,false
128,21,0,2,7,0,1,1,1,1586800349,false
143,19,0,0,5,0,1,1,1,1586780792,false
144,47,3,0,11,0,1,1,1,1586786348,false
146,6,0,1,32,0,1,1,1,1586799295,false
150,17,0,0,38,0,1,1,1,1586798615,false
151,25,0,0,8,0,1,1,1,1586797957,true
157,13,0,0,10,0,1,1,1,1586793220,false
161,26,0,1,8,0,1,1,1,1586790907,false
164,25,0,2,20,0,1,1,1,1586799996,false
167,22,0,1,22,0,1,1,1,1586799942,false
168,30,0,1,16,0,1,1,1,1586794096,false
173,46,0,0,24,0,1,1,1,1586799045,false
174,9,0,0,21,0,1,1,1,1586797963,false
195,33,0,0,12,0,1,1,1,1586800721,false
212,27,0,0,33,0,1,1,1,1586800183,false
216,10,0,0,13,0,1,1,1,1586757005,false
217,12,0,0,27,0,1,1,1,1586780718,false
223,27,0,0,6,0,1,1,1,1586799471,false
224,9,0,0,22,0,1,1,1,1586794934,true
228,17,0,0,38,0,1,1,1,1586795994,false
229,5,1,0,18,0,1,1,1,1586793337,false
236,19,0,0,28,0,1,1,1,1586800035,false
237,32,0,0,7,0,1,1,1,1586799369,false
238,21,0,0,10,0,1,1,1,1586794859,false
239,26,0,1,4,0,1,1,1,1586793756,false
241,13,0,0,10,0,1,1,1,1586782309,false
242,39,0,0,7,0,1,1,1,1586796144,false
244,7,0,0,24,0,1,1,1,1586779895,false
245,21,0,0,2,0,1,1,1,1586763825,true
247,31,0,1,23,0,1,1,1,1586797309,false
248,2,0,1,20,0,1,1,1,1586796255,false
249,3,0,1,23,0,1,1,1,1586796718,false
250,8,0,0,32,0,1,1,1,1586793646,false
251,23,0,0,4,0,1,1,1,1586793552,false
252,21,0,0,12,0,1,1,1,1586778227,false
254,21,0,0,38,0,1,1,1,1586795276,false
257,33,0,0,6,0,1,1,1,1586797973,false
258,18,0,0,5,0,1,1,1,1586784210,false
259,30,0,0,9,0,1,1,1,1586799140,true
260,4,0,1,28,0,1,1,1,1586798475,false
261,23,0,0,4,0,1,1,1,1586800607,false
262,8,0,0,16,0,1,1,1,1586755816,false
264,18,0,1,8,0,1,1,1,1586801014,false
265,35,0,0,0,0,1,1,1,1586795554,false
267,53,0,0,25,0,1,1,1,1586798567,false
268,16,0,0,11,0,1,1,1,1586798552,false
270,3,0,0,20,0,1,1,1,1586780197,false
274,31,0,0,0,0,1,1,1,1586800192,false
275,17,0,0,2,0,1,1,1,1586793802,false
276,2,0,0,23,0,1,1,1,1586799467,false
278,9,0,0,10,0,1,1,1,1586755745,false
280,31,0,0,28,0,1,1,1,1586795554,false
281,14,0,1,51,0,1,1,1,1586787274,false
282,24,1,0,3,0,1,1,1,1586796599,false
284,34,0,2,7,0,1,1,1,1586798453,false
285,25,0,2,26,0,1,1,1,1586798420,true
289,7,0,0,12,0,1,1,1,1586793173,false
291,5,0,0,15,0,1,1,1,1586796607,false
293,11,0,1,43,0,1,1,1,1586799508,false
295,5,0,0,19,0,1,1,1,1586800430,false
297,25,0,0,2,0,1,1,1,1586795666,false
298,17,0,0,18,0,1,1,1,1586795659,false
301,40,0,0,18,0,1,1,1,1586799399,false
302,0,0,0,23,0,1,1,1,1586795356,false
303,8,1,0,59,0,1,1,1,1586799368,false
304,23,0,0,10,0,1,1,1,1586799879,true
305,27,0,2,3,0,1,1,1,1586800828,false
307,24,0,1,5,0,1,1,1,1586800937,false
308,6,0,0,21,0,1,1,1,1586776245,false
309,10,0,0,31,0,1,1,1,1586797187,false
310,29,0,1,6,0,1,1,1,1586778088,false
311,15,1,2,14,0,1,1,1,1586799917,false
312,23,0,0,8,0,1,1,1,1586800513,false
313,18,1,0,5,0,1,1,1,1586795704,false
315,20,0,0,9,0,1,1,1,1586795239,true
316,10,0,0,33,0,1,1,1,1586798705,false
317,26,0,0,28,0,1,1,1,1586798853,false
319,8,0,0,25,0,1,1,1,1586796906,false
320,3,0,0,36,0,1,1,1,1586800704,false
321,25,0,0,2,0,1,1,1,1586756922,true
323,35,0,1,3,0,1,1,1,1586783513,false
324,46,0,0,5,0,1,1,1,1586796988,false
325,29,0,0,6,0,1,1,1,1586791776,false
326,12,0,0,29,0,1,1,1,1586800995,false
327,15,0,0,24,0,1,1,1,1586796921,true
328,13,13,0,10,0,1,1,1,1586797334,false
330,8,0,0,31,0,1,1,1,1586799955,false
331,6,0,0,21,0,1,1,1,1586792567,false
332,7,0,1,28,0,1,1,1,1586799401,false
334,20,0,1,10,0,1,1,1,1586800059,false
335,9,0,1,17,0,1,1,1,1586801012,false
336,15,0,3,18,0,1,1,1,1586797991,false
339,1,0,1,28,0,1,1,1,1586798467,false
340,10,0,1,16,0,1,1,1,1586800114,true
341,16,1,0,3,0,1,1,1,1586798200,false
342,16,0,0,13,0,1,1,1,1586799816,false
343,16,0,1,6,0,1,1,1,1586779801,false
344,3,0,3,17,0,1,1,1,1586800729,false
346,17,0,0,10,0,1,1,1,1586798561,false
347,4,0,0,31,0,1,1,1,1586796808,false
349,0,0,0,61,0,1,1,1,1586800956,false
350,20,0,0,8,0,1,1,1,1586800324,false
351,13,0,0,26,0,1,1,1,1586774512,false
353,23,0,0,4,0,1,1,1,1586799205,false
354,40,0,0,7,0,1,1,1,1586793853,false
355,8,0,0,35,0,1,1,1,1586797152,false
356,4,0,0,19,0,1,1,1,1586781605,false
358,41,0,1,8,0,1,1,1,1586797807,false
359,43,0,0,22,0,1,1,1,1586786738,false
360,3,0,0,36,0,1,1,1,1586796276,false
361,17,0,0,26,0,1,1,1,1586800706,false
362,39,0,0,18,0,1,1,1,1586795683,false
363,31,0,0,18,0,1,1,1,1586798519,false
364,3,0,0,24,0,1,1,1,1586755770,false
366,8,0,0,25,0,1,1,1,1586795603,false
367,13,0,0,20,0,1,1,1,1586800295,false
368,30,0,0,9,0,1,1,1,1586798657,true
369,7,0,0,53,0,1,1,1,1586793787,false
372,23,0,0,4,0,1,1,1,1586792675,false
373,15,0,0,4,0,1,1,1,1586775139,false
376,14,0,0,29,0,1,1,1,1586796640,false
377,6,0,0,42,0,1,1,1,1586795923,false
379,11,0,2,29,0,1,1,1,1586796867,false
380,7,1,0,35,0,1,1,1,1586800589,false
383,33,0,1,5,0,1,1,1,1586796667,false
385,20,0,2,7,0,1,1,1,1586796180,false
386,3,0,0,40,0,1,1,1,1586798190,false
387,19,1,2,18,0,1,1,1,1586794861,false
388,18,0,0,17,0,1,1,1,1586797226,false
389,23,1,1,3,0,1,1,1,1586798554,false
